run_id,timestamp_utc,embedding_model,chunking_strategy,ingestion_seconds,retrieval_only_seconds,generation_only_seconds,query_to_response_seconds,end_to_end_seconds,chunk_count,avg_chunk_chars,avg_chunk_tokens_approx,k,fetch_k,dataset_fingerprint
209a88b218ac,2026-04-05T10:01:24.981869+00:00,nomic-embed-text,semantic,29.5028,3.5301,4.5476,8.0776,37.6305,3,1662.33,415.33,4,20,ad558587634c500e7e6d58cc00b70f31
9ea41cfc5077,2026-04-05T10:06:56.317904+00:00,bge-m3,semantic,4.9251,5.4268,4.4671,9.8939,22.5232,3,1662.33,415.33,4,20,ad558587634c500e7e6d58cc00b70f31
93d88484477f,2026-04-05T10:17:49.023770+00:00,bge-m3,fixed,3.676,4.3011,3.9587,8.2598,19.2909,6,960.5,239.83,4,20,ad558587634c500e7e6d58cc00b70f31
9061a34e92cc,2026-04-05T10:18:18.576723+00:00,bge-m3,recursive,4.1525,3.4227,4.502,7.9247,18.8106,6,960.5,239.83,4,20,ad558587634c500e7e6d58cc00b70f31
769949885125,2026-04-05T10:19:12.671250+00:00,nomic-embed-text,fixed,1.5382,2.5786,5.0875,7.6661,9.2484,6,960.5,239.83,4,20,ad558587634c500e7e6d58cc00b70f31
8640f53789d8,2026-04-05T10:19:27.565488+00:00,nomic-embed-text,recursive,0.6137,0.9545,4.7853,5.7399,6.391,6,960.5,239.83,4,20,ad558587634c500e7e6d58cc00b70f31
f5fd83c75dd2,2026-04-05T10:20:07.346444+00:00,nomic-embed-text,semantic,1.4196,2.2489,4.4758,6.7247,8.1852,3,1662.33,415.33,4,20,ad558587634c500e7e6d58cc00b70f31
